time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z
1589542489.75345,-0.45,-3.95,8.89,0.4566666666666666,0.2788888888888889,-0.6311111111111111,0.5625,0.6875,-0.0625
1589542489.759402,-0.47,-3.94,8.8,0.4833333333333333,0.2855555555555556,-0.6377777777777778,0.5,0.3125,0.0
1589542489.7707512,-0.44,-3.97,8.93,0.4833333333333333,0.2855555555555556,-0.6377777777777778,-0.1875,-0.375,-0.0625
1589542489.776817,-0.49,-3.93,8.76,0.4833333333333333,0.2855555555555556,-0.6377777777777778,-0.0625,-0.4375,0.0
1589542489.7856047,-0.48,-3.93,8.78,0.4833333333333333,0.2855555555555556,-0.6377777777777778,-0.25,-0.6875,0.0
1589542489.7985961,-0.44,-3.91,8.85,0.4833333333333333,0.2855555555555556,-0.6377777777777778,-0.3125,-0.625,-0.25
1589542489.80638,-0.45,-3.93,8.84,0.4577777777777778,0.3055555555555556,-0.6044444444444445,-0.0625,-0.4375,0.0625
1589542489.8164682,-0.45,-3.89,8.89,0.4577777777777778,0.3055555555555556,-0.6044444444444445,-0.25,-0.5625,-0.25
1589542489.8297164,-0.45,-3.91,8.76,0.4577777777777778,0.3055555555555556,-0.6044444444444445,0.0,-0.4375,-0.5625
1589542489.8365734,-0.43,-3.84,8.83,0.4577777777777778,0.3055555555555556,-0.6044444444444445,0.0,-0.4375,-1.0
1589542489.848336,-0.42,-3.89,8.88,0.4577777777777778,0.3055555555555556,-0.6044444444444445,-0.0625,-0.5,-1.5625
1589542489.855461,-0.46,-3.92,8.89,0.4777777777777778,0.3,-0.6255555555555555,0.125,-0.25,-2.125
1589542489.8687046,-0.44,-3.98,8.87,0.4777777777777778,0.3,-0.6255555555555555,0.0625,-0.25,-2.625
1589542489.8761225,-0.45,-4.01,8.8,0.4777777777777778,0.3,-0.6255555555555555,-0.1875,-0.1875,-2.625
1589542489.886099,-0.46,-3.98,8.81,0.4777777777777778,0.3,-0.6255555555555555,-0.5,-0.375,-2.5625
1589542489.8983324,-0.41,-3.95,8.9,0.4777777777777778,0.3,-0.6255555555555555,-0.75,-0.5,-2.375
1589542489.910078,-0.41,-3.97,8.85,0.49,0.3,-0.6311111111111111,-0.75,-0.4375,-2.4375
1589542489.9192376,-0.45,-3.97,8.85,0.49,0.3,-0.6311111111111111,-0.3125,0.125,-2.5625
1589542489.9294894,-0.42,-3.98,8.73,0.49,0.3,-0.6311111111111111,-0.3125,0.1875,-2.3125
1589542489.9363465,-0.43,-3.97,8.73,0.49,0.3,-0.6311111111111111,0.0,0.0,-1.875
1589542489.9487484,-0.42,-4.01,8.81,0.49,0.3,-0.6311111111111111,0.1875,0.375,-1.5
1589542489.9574847,-0.45,-4.01,8.85,0.49,0.2733333333333333,-0.6255555555555555,0.3125,0.25,-1.0625
1589542489.9687989,-0.44,-3.98,8.87,0.49,0.2733333333333333,-0.6255555555555555,0.5,0.1875,-0.6875
1589542489.980862,-0.41,-3.9,8.81,0.49,0.2733333333333333,-0.6255555555555555,0.3125,0.25,-0.625
1589542489.9868233,-0.39,-3.91,8.91,0.49,0.2733333333333333,-0.6255555555555555,0.0625,-0.125,-0.6875
1589542489.9995787,-0.41,-3.93,8.88,0.49,0.2733333333333333,-0.6255555555555555,-0.0625,-0.1875,-0.8125
1589542490.00715,-0.42,-3.9,8.94,0.4711111111111111,0.2855555555555556,-0.6166666666666667,-0.5,-0.625,-1.1875
1589542490.019603,-0.38,-3.92,8.83,0.4711111111111111,0.2855555555555556,-0.6166666666666667,-0.5,-0.25,-1.5625
1589542490.0270019,-0.37,-3.98,8.76,0.4711111111111111,0.2855555555555556,-0.6166666666666667,-0.5,0.1875,-2.0
1589542490.0398893,-0.36,-4.06,8.76,0.4711111111111111,0.2855555555555556,-0.6166666666666667,-0.1875,0.5,-1.875
1589542490.0493324,-0.41,-4.16,8.82,0.4711111111111111,0.2855555555555556,-0.6166666666666667,0.1875,0.625,-1.5
1589542490.0575314,-0.44,-4.1,8.83,0.4777777777777778,0.2933333333333333,-0.6466666666666666,0.3125,0.8125,-0.875
