time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,ori_x,ori_y,ori_z,q,p1,p2,p3,A0,A1,A2
1588783351.0472033,-1.42,-0.38,10.26,0.012222222222222223,0.3511111111111111,-0.5777777777777777,-1.25,-5.5,140.875,347.0,0.8125,0.0,0.9935302734375,0.0006103515625,-0.00738525390625,0.11309814453125,12.122723041380267,8.982460400612425,19.298746312561445
1588783351.0532744,-1.27,-0.81,9.77,0.012222222222222223,0.3511111111111111,-0.5777777777777777,0.125,-6.625,155.5625,345.5,0.875,0.0,0.99200439453125,0.00054931640625,-0.0079345703125,0.12615966796875,12.122723041380267,8.982460400612425,19.298746312561445
1588783351.0667331,-0.97,-0.93,9.78,0.012222222222222223,0.3511111111111111,-0.5777777777777777,-0.3125,-6.8125,166.625,343.875,0.9375,0.0625,0.9901123046875,0.00054931640625,-0.008544921875,0.14007568359375,11.746357121055636,9.056518364791735,18.564051710614322
1588783351.0759616,0.07,-1.07,9.66,0.012222222222222223,0.3511111111111111,-0.5777777777777777,-0.125,-7.25,173.4375,342.1875,1.0,0.0625,0.9879150390625,0.00048828125,-0.0091552734375,0.15460205078125,11.746357121055636,9.056518364791735,18.564051710614322
1588783351.0862765,0.51,-1.18,9.53,0.03888888888888889,0.3511111111111111,-0.5988888888888889,-0.1875,-7.25,173.375,340.5625,1.0625,0.125,0.98565673828125,0.00042724609375,-0.009765625,0.16851806640625,11.963759524704209,8.45839338788815,19.221323377123028
1588783351.0924788,0.81,-1.1,9.51,0.03888888888888889,0.3511111111111111,-0.5988888888888889,-0.875,-6.625,166.9375,338.9375,1.125,0.125,0.983154296875,0.00030517578125,-0.01031494140625,0.182373046875,11.963759524704209,8.45839338788815,19.221323377123028
1588783351.1033099,0.81,-1.1,9.51,0.03888888888888889,0.3511111111111111,-0.5988888888888889,-0.875,-6.625,166.9375,338.9375,1.125,0.125,0.983154296875,0.00030517578125,-0.01031494140625,0.182373046875,11.963759524704209,8.443245193181722,18.709743483113858
1588783351.1128125,0.0,-0.88,9.85,0.03888888888888889,0.3511111111111111,-0.5988888888888889,-3.25,-5.75,160.8125,335.8125,1.25,0.25,0.97784423828125,-0.0003662109375,-0.0113525390625,0.208984375,11.963759524704209,8.443245193181722,18.709743483113858
1588783351.1261086,0.16,-0.93,9.55,0.03888888888888889,0.3511111111111111,-0.5988888888888889,-0.5625,-6.8125,161.5625,334.25,1.3125,0.3125,0.97491455078125,-0.0003662109375,-0.01190185546875,0.2222900390625,11.963759524704209,8.45839338788815,19.221323377123028
1588783351.132071,0.56,-0.66,9.78,0.10444444444444445,0.3566666666666667,-0.5911111111111111,-0.5,-6.5,158.0625,332.75,1.375,0.375,0.97186279296875,-0.00042724609375,-0.012451171875,0.2352294921875,11.963759524704209,8.45839338788815,19.221323377123028
1588783351.142542,0.56,-0.66,9.78,0.10444444444444445,0.3566666666666667,-0.5911111111111111,-0.5,-6.5,158.0625,332.75,1.375,0.375,0.97186279296875,-0.00042724609375,-0.012451171875,0.2352294921875,12.057369976310646,8.281495282443316,19.14447388302893
1588783351.1485152,0.98,-0.15,9.48,0.10444444444444445,0.3566666666666667,-0.5911111111111111,-0.25,-6.1875,150.9375,331.3125,1.375,0.375,0.96881103515625,-0.00042724609375,-0.01300048828125,0.24755859375,12.057369976310646,8.281495282443316,19.14447388302893
1588783351.1595838,2.41,0.4,9.59,0.10444444444444445,0.3566666666666667,-0.5911111111111111,-0.4375,-5.9375,141.375,329.9375,1.4375,0.4375,0.96575927734375,-0.00048828125,-0.013427734375,0.2591552734375,12.089964704596662,8.524621407821384,19.14447388302893
1588783351.1659641,2.55,0.66,9.58,0.10444444444444445,0.3566666666666667,-0.5911111111111111,-0.5,-5.0625,124.75,328.75,1.5,0.4375,0.96295166015625,-0.00048828125,-0.01385498046875,0.269287109375,12.089964704596662,8.524621407821384,19.14447388302893
1588783351.1763911,2.98,0.92,9.59,0.10444444444444445,0.3566666666666667,-0.5911111111111111,-0.25,-4.3125,103.9375,327.6875,1.5,0.5,0.9605712890625,-0.00054931640625,-0.01422119140625,0.27777099609375,12.024937666094175,8.524621407821384,19.14447388302893
1588783351.1838944,1.58,0.68,9.69,0.13666666666666666,0.3377777777777778,-0.62,-0.0625,-3.375,81.0625,327.0,1.5625,0.5,0.9588623046875,-0.00054931640625,-0.01446533203125,0.28350830078125,12.024937666094175,8.45839338788815,19.14447388302893
1588783351.1982474,0.47,0.3,9.72,0.13666666666666666,0.3377777777777778,-0.62,0.0625,-2.625,63.5625,326.4375,1.5625,0.5,0.95733642578125,-0.00054931640625,-0.01470947265625,0.2886962890625,12.089964704596662,8.492236931967458,19.298746312561445
1588783351.204983,-0.05,0.06,9.62,0.13666666666666666,0.3377777777777778,-0.62,0.0,-2.25,54.75,325.875,1.5625,0.5625,0.95599365234375,-0.0006103515625,-0.014892578125,0.2930908203125,12.089964704596662,8.492236931967458,19.298746312561445
1588783351.2183526,0.21,0.16,9.72,0.13666666666666666,0.3377777777777778,-0.62,0.1875,-2.125,50.125,325.375,1.625,0.5625,0.9547119140625,-0.0006103515625,-0.01507568359375,0.297119140625,11.808614814841004,9.018399217477993,18.783386191848574
1588783351.2263186,0.21,-0.11,9.9,0.13666666666666666,0.3377777777777778,-0.62,0.3125,-1.875,44.25,324.9375,1.625,0.5625,0.95361328125,-0.0006103515625,-0.01519775390625,0.30072021484375,11.808614814841004,9.018399217477993,18.783386191848574
1588783351.236508,0.06,-0.22,10.03,0.18222222222222223,0.3377777777777778,-0.6133333333333333,2.5,-2.4375,39.125,324.625,1.625,0.5625,0.9527587890625,-0.00042724609375,-0.01531982421875,0.30340576171875,12.057369976310646,9.018399217477993,16.363150601889696
1588783351.2436519,0.31,-0.1,9.41,0.18222222222222223,0.3377777777777778,-0.6133333333333333,4.625,-2.875,35.9375,324.3125,1.625,0.5,0.9517822265625,0.0,-0.01544189453125,0.30633544921875,12.057369976310646,9.018399217477993,16.363150601889696
1588783351.2541757,0.96,-0.25,9.5,0.18222222222222223,0.3377777777777778,-0.6133333333333333,0.9375,-1.5,29.5,324.0,1.6875,0.5,0.9510498046875,6.103515625e-05,-0.01556396484375,0.3087158203125,11.93179159940788,9.018399217477993,16.363150601889696
1588783351.2637727,0.9,-0.26,9.6,0.18222222222222223,0.3377777777777778,-0.6133333333333333,0.375,-0.8125,19.5,323.8125,1.6875,0.5,0.95050048828125,6.103515625e-05,-0.015625,0.31024169921875,11.93179159940788,9.018399217477993,18.427579031851216
1588783351.274793,0.62,-0.19,9.66,0.18222222222222223,0.3377777777777778,-0.6133333333333333,-0.3125,-0.1875,8.625,323.75,1.6875,0.5,0.9503173828125,6.103515625e-05,-0.015625,0.31097412109375,11.963759524704209,8.999450915454341,18.427579031851216
1588783351.2830412,0.0,-0.07,9.71,0.18777777777777777,0.3322222222222222,-0.6133333333333333,-0.375,0.1875,1.75,323.6875,1.6875,0.5,0.95025634765625,6.103515625e-05,-0.015625,0.31109619140625,11.963759524704209,8.999450915454341,16.589259411980247
1588783351.2934036,0.0,-0.07,9.69,0.18777777777777777,0.3322222222222222,-0.6133333333333333,-0.0625,0.1875,-0.0625,323.6875,1.6875,0.5,0.95025634765625,6.103515625e-05,-0.015625,0.31109619140625,11.963759524704209,9.018399217477993,16.589259411980247
1588783351.2995539,0.0,-0.07,9.69,0.18777777777777777,0.3322222222222222,-0.6133333333333333,-0.0625,0.1875,-0.0625,323.6875,1.6875,0.5,0.95025634765625,6.103515625e-05,-0.015625,0.31109619140625,11.963759524704209,9.018399217477993,18.924796454384552
1588783351.311808,-0.04,-0.07,9.6,0.18777777777777777,0.3322222222222222,-0.6133333333333333,0.0625,0.125,-0.1875,323.6875,1.6875,0.5,0.95025634765625,6.103515625e-05,-0.015625,0.31109619140625,11.963759524704209,8.644176155450292,18.924796454384552
1588783351.3179464,-0.02,-0.08,9.64,0.18777777777777777,0.3322222222222222,-0.6133333333333333,0.0,0.25,-0.125,323.6875,1.6875,0.5,0.95025634765625,6.103515625e-05,-0.015625,0.31109619140625,11.963759524704209,8.644176155450292,18.924796454384552
1588783351.3303475,-0.02,-0.07,9.7,0.18777777777777777,0.3322222222222222,-0.6133333333333333,0.0,0.0,-0.125,323.6875,1.6875,0.5,0.95025634765625,6.103515625e-05,-0.015625,0.31109619140625,11.963759524704209,9.018399217477993,19.000017609200633
1588783351.336835,-0.01,-0.07,9.72,0.19333333333333333,0.32666666666666666,-0.6266666666666667,0.0,0.125,-0.1875,323.6875,1.6875,0.5,0.95025634765625,6.103515625e-05,-0.015625,0.31109619140625,11.963759524704209,9.018399217477993,19.000017609200633
1588783351.3494444,-0.02,-0.08,9.73,0.19333333333333333,0.32666666666666666,-0.6266666666666667,-0.0625,0.0,-0.125,323.6875,1.6875,0.5,0.95025634765625,6.103515625e-05,-0.015625,0.31109619140625,11.68777314304923,8.748892828039995,19.000017609200633
1588783351.3555446,0.01,-0.07,9.59,0.19333333333333333,0.32666666666666666,-0.6266666666666667,0.0,0.0625,-0.25,323.6875,1.625,0.5,0.95025634765625,0.0,-0.01544189453125,0.31109619140625,11.68777314304923,8.748892828039995,19.298746312561445
1588783351.3686981,0.12,-0.1,9.61,0.19333333333333333,0.32666666666666666,-0.6266666666666667,-0.125,0.0625,-0.5,323.6875,1.625,0.5,0.95025634765625,0.0,-0.015380859375,0.31109619140625,11.963759524704209,9.018399217477993,18.783386191848574
