time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z,ori_z,ori_y,ori_x,q,p1,p2,p3,A0,A1,A2
1589551858.7559006,0.18,-4.14,8.85,0.42777777777777776,0.43666666666666665,-0.6411111111111111,-0.1875,0.25,0.0625,275.1875,0.5,23.625,0.72283935546875,-0.14813232421875,-0.14190673828125,0.65985107421875,0.3379095440748334,0.4074650127970809,0.11734358255378813
1589551858.7623804,0.16,-4.14,8.92,0.42777777777777776,0.43666666666666665,-0.6411111111111111,-0.25,-0.125,0.0625,275.1875,0.5,23.625,0.72283935546875,-0.14813232421875,-0.1419677734375,0.65985107421875,0.3379095440748334,0.4650333589250033,0.11734358255378813
1589551858.7745278,0.17,-4.13,8.99,0.42777777777777776,0.43666666666666665,-0.6411111111111111,-0.375,-0.375,-0.125,275.1875,0.5,23.625,0.72283935546875,-0.148193359375,-0.14202880859375,0.65985107421875,0.3379095440748334,0.4650333589250033,0.11827294996026913
1589551858.7854211,0.18,-4.15,9.05,0.42777777777777776,0.43,-0.6555555555555556,-0.25,-0.5625,0.0625,275.1875,0.5625,23.6875,0.72283935546875,-0.148193359375,-0.14208984375,0.65985107421875,0.34232915890069343,0.4778809308314024,0.11518631396993224
1589551858.7925918,0.16,-4.12,9.06,0.42777777777777776,0.43,-0.6555555555555556,-0.25,-0.5625,0.1875,275.1875,0.5625,23.6875,0.72283935546875,-0.148193359375,-0.14215087890625,0.65985107421875,0.32083268013065175,0.4778809308314024,0.11518631396993224
1589551858.802797,0.11,-4.1,8.93,0.42777777777777776,0.43,-0.6555555555555556,-0.25,-0.75,0.5,275.1875,0.5625,23.6875,0.7227783203125,-0.148193359375,-0.1422119140625,0.65985107421875,0.32083268013065175,0.4823119900107394,0.11827294996026913
1589551858.8161433,0.16,-4.12,9.04,0.42777777777777776,0.43,-0.6555555555555556,-0.5625,-0.875,1.1875,275.1875,0.5625,23.6875,0.72271728515625,-0.148193359375,-0.14227294921875,0.659912109375,0.33337121366189926,0.6063822933997984,0.113698868948505
1589551858.8256776,0.15,-4.11,9.02,0.42777777777777776,0.43,-0.6555555555555556,-0.5,-0.4375,1.875,275.125,0.5625,23.6875,0.72259521484375,-0.148193359375,-0.14227294921875,0.6600341796875,0.33337121366189926,0.6063822933997984,0.113698868948505
1589551858.8331645,0.15,-4.13,9.05,0.43555555555555553,0.45666666666666667,-0.6411111111111111,-0.5,-0.0625,2.1875,275.125,0.5625,23.6875,0.72247314453125,-0.14825439453125,-0.14227294921875,0.66015625,0.2811853495413832,0.6063822933997984,0.113698868948505
1589551858.8432806,0.16,-4.13,9.03,0.43555555555555553,0.45666666666666667,-0.6411111111111111,-0.3125,-0.25,2.6875,275.125,0.5,23.6875,0.72235107421875,-0.1483154296875,-0.14227294921875,0.6602783203125,0.2811853495413832,0.4492681034496481,0.11827294996026913
1589551858.853226,0.16,-4.11,8.84,0.43555555555555553,0.45666666666666667,-0.6411111111111111,-0.3125,-0.1875,3.125,275.0625,0.5,23.6875,0.72216796875,-0.14837646484375,-0.142333984375,0.66046142578125,0.34469892955945086,0.4956071854791829,0.11827294996026913
1589551858.8637092,0.15,-4.12,8.94,0.43555555555555553,0.45666666666666667,-0.6411111111111111,-0.3125,-0.4375,3.375,275.0625,0.5,23.6875,0.721923828125,-0.1484375,-0.142333984375,0.66070556640625,0.34469892955945086,0.4956071854791829,0.10757611197930171
1589551858.8757124,0.15,-4.1,8.97,0.43555555555555553,0.45666666666666667,-0.6411111111111111,-0.125,-0.5,3.6875,275.0,0.5,23.6875,0.72174072265625,-0.14849853515625,-0.142333984375,0.660888671875,0.3863657601866544,0.4344734393227604,0.11827294996026913
1589551858.8822722,0.14,-4.15,9.05,0.43555555555555553,0.44222222222222224,-0.6488888888888888,0.0,-0.625,4.125,274.9375,0.5,23.6875,0.72149658203125,-0.1485595703125,-0.142333984375,0.6611328125,0.3863657601866544,0.4344734393227604,0.11827294996026913
1589551858.8927484,0.15,-4.2,8.99,0.43555555555555553,0.44222222222222224,-0.6488888888888888,0.25,-0.6875,4.375,274.9375,0.5,23.6875,0.72125244140625,-0.1485595703125,-0.14239501953125,0.66143798828125,0.34953162930465587,0.4042283755220455,0.11827294996026913
1589551858.9057288,0.18,-4.16,8.94,0.43555555555555553,0.44222222222222224,-0.6488888888888888,0.3125,-0.5625,4.4375,274.875,0.4375,23.75,0.72100830078125,-0.148681640625,-0.14239501953125,0.66168212890625,0.34022226900883096,0.4042283755220455,0.1083930998236137
1589551858.9134307,0.18,-4.19,9.0,0.43555555555555553,0.44222222222222224,-0.6488888888888888,0.1875,-0.25,4.3125,274.8125,0.4375,23.75,0.720703125,-0.14874267578125,-0.14239501953125,0.66192626953125,0.34022226900883096,0.34022226900883096,0.11702626999166403
1589551858.928792,0.19,-4.15,9.03,0.43555555555555553,0.44222222222222224,-0.6488888888888888,0.0625,-0.375,4.0625,274.8125,0.4375,23.75,0.72052001953125,-0.1488037109375,-0.14239501953125,0.66217041015625,0.34232915890069343,0.41713108403018173,0.11702626999166403
1589551858.9341445,0.18,-4.15,9.02,0.42777777777777776,0.43,-0.6622222222222223,0.125,-0.0625,3.625,274.75,0.4375,23.75,0.72027587890625,-0.14886474609375,-0.1424560546875,0.662353515625,0.34232915890069343,0.41713108403018173,0.11702626999166403
1589551858.9437542,0.17,-4.15,9.05,0.42777777777777776,0.43,-0.6622222222222223,0.0,0.0,3.4375,274.75,0.4375,23.75,0.7200927734375,-0.14892578125,-0.1424560546875,0.66253662109375,0.34232915890069343,0.41713108403018173,0.10085481606621322
1589551858.9558086,0.17,-4.14,8.94,0.42777777777777776,0.43,-0.6622222222222223,0.0625,0.0625,3.125,274.6875,0.4375,23.75,0.71990966796875,-0.14898681640625,-0.1424560546875,0.6627197265625,0.35199575785121906,0.5146036866178766,0.1083930998236137
1589551858.9665005,0.17,-4.17,8.97,0.42777777777777776,0.43,-0.6622222222222223,0.0,0.125,2.9375,274.6875,0.375,23.75,0.7197265625,-0.1490478515625,-0.14251708984375,0.66290283203125,0.35199575785121906,0.42056425696985505,0.1083930998236137
1589551858.9757867,0.18,-4.16,9.01,0.42777777777777776,0.43,-0.6622222222222223,-0.125,0.0625,2.6875,274.625,0.375,23.75,0.7196044921875,-0.14910888671875,-0.142578125,0.6630859375,0.35199575785121906,0.42056425696985505,0.113698868948505
1589551858.9876502,0.18,-4.18,8.98,0.44222222222222224,0.43666666666666665,-0.6555555555555556,0.125,0.0,2.375,274.625,0.375,23.8125,0.71942138671875,-0.149169921875,-0.142578125,0.6632080078125,0.3248417572103921,0.45722582472554457,0.11795092836349685
1589551858.993396,0.15,-4.15,8.97,0.44222222222222224,0.43666666666666665,-0.6555555555555556,0.0,-0.375,2.1875,274.625,0.375,23.8125,0.71929931640625,-0.14923095703125,-0.14263916015625,0.663330078125,0.3248417572103921,0.45722582472554457,0.11795092836349685
1589551859.0077813,0.16,-4.15,8.93,0.44222222222222224,0.43666666666666665,-0.6555555555555556,0.0625,-0.125,1.8125,274.5625,0.375,23.8125,0.71917724609375,-0.14923095703125,-0.1427001953125,0.66339111328125,0.3593288242735007,0.4457710691193347,0.11795092836349685
1589551859.0136163,0.16,-4.15,8.97,0.44222222222222224,0.43666666666666665,-0.6555555555555556,-0.0625,-0.25,1.6875,274.5625,0.375,23.8125,0.7191162109375,-0.1492919921875,-0.1427001953125,0.66351318359375,0.3593288242735007,0.4457710691193347,0.11795092836349685
1589551859.0260394,0.15,-4.15,8.98,0.44222222222222224,0.43666666666666665,-0.6555555555555556,0.0625,-0.0625,1.625,274.5625,0.375,23.8125,0.718994140625,-0.14935302734375,-0.14276123046875,0.66357421875,0.3269896237620402,0.45722582472554457,0.11827294996026913
1589551859.0342975,0.17,-4.14,9.03,0.44222222222222224,0.44222222222222224,-0.6488888888888888,0.0,0.0625,1.4375,274.5625,0.375,23.8125,0.71893310546875,-0.14935302734375,-0.142822265625,0.66363525390625,0.3269896237620402,0.45722582472554457,0.11827294996026913
